Diagnostico_transcrito,Diagnostico_estandar,Diagnostico_extendido,Freq,Npartes,Nfalta,IDs,Diagnostico_clasificacion
TT+CH,CH+TT,cirrosis hepatica + traumatismo torax,1,2,0,BO_1975_01545,Enfermedades del sistema digestivo + Trauma
C Hipertension x Tumor cerebral,CH+Tum,cirrosis hepatica + tumor,1,4,2,BO_1978_04681,Enfermedades del sistema digestivo + Tumores (neoplasias)
VE+CH,CH+VE,cirrosis hepatica + varices esofagicas,5,2,0,"BO_1974_03311,BO_1976_00036,BO_1977_02520,BO_1979_04510,BO_1979_06231",Enfermedades del sistema digestivo
CH+VE,CH+VE,cirrosis hepatica + varices esofagicas,2,2,0,"BO_1974_04549,BO_1974_04565",Enfermedades del sistema digestivo
VE+C,CH+VE,cirrosis hepatica + varices esofagicas,2,2,0,"BO_1975_00353,BO_1976_02751",Enfermedades del sistema digestivo
VE+RB+CH,CH+VE,cirrosis hepatica + varices esofagicas,1,3,1,BO_1974_02559,Enfermedades del sistema digestivo
VE+CH+Hn,CH+VE,cirrosis hepatica + varices esofagicas,1,3,1,BO_1979_01491,Enfermedades del sistema digestivo
VE+CH H,CH+VE,cirrosis hepatica + varices esofagicas,1,3,1,BO_1975_05425,Enfermedades del sistema digestivo
VE+CH+,CH+VE,cirrosis hepatica + varices esofagicas,1,2,0,BO_1976_05467,Enfermedades del sistema digestivo
EC+EP Intox Ci,Cianuro+EC+EP+Intox,cianuro + edema cerebral + edema pulmonar + intoxicacion,1,4,0,BO_1974_01199,Causas externas de morbilidad y de mortalidad + Enfermedades del sistema nervioso + Enfermedades del sistema respiratorio
Intox Cianuro,Cianuro+Intox,cianuro + intoxicacion,1,2,0,BO_1979_04730,Causas externas de morbilidad y de mortalidad
INTOX CIA,Cianuro+Intox,cianuro + intoxicacion,1,2,0,BO_1974_01306,Causas externas de morbilidad y de mortalidad
Cisticercosis,Cisticercosis,cisticercosis,8,1,0,"BO_1974_02887,BO_1975_00517,BO_1975_01859,BO_1975_02036,BO_1975_02272",Ciertas enfermedades infecciosas y parasitarias
CL,CL,conjunto lesiones,31,1,0,"BO_1974_00144,BO_1974_00146,BO_1974_01648,BO_1974_01655,BO_1974_01659",Trauma
Pancreatitis+CL,CL+Pancrea,conjunto lesiones + pancreatitis,1,2,0,BO_1974_00093,Enfermedades del sistema digestivo + Trauma
PL y CL,CL+PN,conjunto lesiones + pleuro pneumonia,1,2,0,BO_1974_03866,Enfermedades del sistema respiratorio + Trauma
CVGCO2,CO2+CVG,CO2 + congestion visceral generalizada,1,2,0,BO_1977_01531,Causas externas de morbilidad y de mortalidad
CVG+CO2,CO2+CVG,CO2 + congestion visceral generalizada,1,2,0,BO_1974_03100,Causas externas de morbilidad y de mortalidad
CVG + Intox CO2,CO2+CVG+Intox,CO2 + congestion visceral generalizada + intoxicacion,1,3,0,BO_1976_04610,Causas externas de morbilidad y de mortalidad
Intox CO2,CO2+Intox,CO2 + intoxicacion,5,2,0,"BO_1974_01708,BO_1974_01709,BO_1977_00916,BO_1977_00917,BO_1978_04074",Causas externas de morbilidad y de mortalidad
Int CO2,CO2+Intox,CO2 + intoxicacion,1,2,0,BO_1978_04945,Causas externas de morbilidad y de mortalidad
InTox GAS CO2,CO2+Intox,CO2 + intoxicacion,1,2,0,BO_1978_01603,Causas externas de morbilidad y de mortalidad
Intox CO2 M,CO2+IntoxMed,CO2 + intoxicacion por medicamentos,3,2,0,"BO_1975_02033,BO_1975_02034,BO_1975_02035",Causas externas de morbilidad y de mortalidad
CVG,CVG,congestion visceral generalizada,1287,1,0,"BO_1974_00151,BO_1974_00165,BO_1974_00166,BO_1974_00268,BO_1974_00371",
CVY,CVG,congestion visceral generalizada,35,1,0,"BO_1974_00323,BO_1974_00924,BO_1974_01007,BO_1976_05552,BO_1976_05583",
CVG+E,CVG,congestion visceral generalizada,3,2,1,"BO_1975_00323,BO_1976_00970,BO_1976_04290",
CV,CVG,congestion visceral generalizada,3,1,0,"BO_1977_02696,BO_1977_02750,BO_1977_05214",
CVG+,CVG,congestion visceral generalizada,2,1,0,"BO_1976_03992,BO_1977_05656",
Intox C+CVG,CVG,congestion visceral generalizada,1,2,1,BO_1976_04132,
cvg,CVG,congestion visceral generalizada,1,1,0,BO_1974_02788,
(CVGxI),CVG,congestion visceral generalizada,1,2,1,BO_1976_02702,
A+CVG,CVG,congestion visceral generalizada,1,2,1,BO_1978_06354,
CVG CO,CVG,congestion visceral generalizada,1,2,1,BO_1976_01316,
CVG+Reb. cerebral,CVG,congestion visceral generalizada,1,2,1,BO_1976_01238,
CVGCOC,CVG,congestion visceral generalizada,1,2,1,BO_1979_06705,
CVGEM,CVG,congestion visceral generalizada,1,2,1,BO_1979_04499,
CVGRebCer,CVG,congestion visceral generalizada,1,2,1,BO_1975_04246,
CVGxCQ,CVG,congestion visceral generalizada,1,2,1,BO_1979_05835,
CVGxMed,CVG,congestion visceral generalizada,1,2,1,BO_1979_03996,
CVYx,CVG,congestion visceral generalizada,1,1,0,BO_1976_06294,
CVG+A,CVG,congestion visceral generalizada,1,2,1,BO_1975_02468,
CVG+CE,CVG,congestion visceral generalizada,1,2,1,BO_1979_05475,
CVG+ECEP,CVG,congestion visceral generalizada,1,2,1,BO_1974_03512,
CVG+GH,CVG,congestion visceral generalizada,1,2,1,BO_1979_01805,
CVG+L,CVG,congestion visceral generalizada,1,2,1,BO_1975_05732,
CVG+PE,CVG,congestion visceral generalizada,1,2,1,BO_1974_02863,
CVG+Piel,CVG,congestion visceral generalizada,1,2,1,BO_1978_00471,
EC+CVG,CVG+EC,congestion visceral generalizada + edema cerebral,1,2,0,BO_1975_04413,Enfermedades del sistema nervioso
CVG+EC,CVG+EC,congestion visceral generalizada + edema cerebral,1,2,0,BO_1975_03194,Enfermedades del sistema nervioso
EC+ CVG,CVG+EC,congestion visceral generalizada + edema cerebral,1,2,0,BO_1979_03227,Enfermedades del sistema nervioso
EC+EP+CVG,CVG+EC+EP,congestion visceral generalizada + edema cerebral + edema pulmonar,1,3,0,BO_1974_01910,Enfermedades del sistema nervioso + Enfermedades del sistema respiratorio
CVG+Electrocucion,CVG+Electroc,congestion visceral generalizada + electrocucion,4,2,0,"BO_1975_01184,BO_1975_04370,BO_1976_03081,BO_1976_03866",Causas externas de morbilidad y de mortalidad
CVG [] Electrocucion,CVG+Electroc,congestion visceral generalizada + electrocucion,1,2,0,BO_1975_02808,Causas externas de morbilidad y de mortalidad
CVG+ELEC,CVG+Electroc,congestion visceral generalizada + electrocucion,1,2,0,BO_1974_02480,Causas externas de morbilidad y de mortalidad
CVG+Elect,CVG+Electroc,congestion visceral generalizada + electrocucion,1,2,0,BO_1975_03442,Causas externas de morbilidad y de mortalidad
CVG+Electrocusion+TM,CVG+Electroc+TM,congestion visceral generalizada + electrocucion + traumatismo multiple,1,3,0,BO_1978_03926,Causas externas de morbilidad y de mortalidad + Trauma
CVG+Ent,CVG+ENT,congestion visceral generalizada + enteritis,1,2,0,BO_1978_00487,Enfermedades del sistema digestivo
EP+CVG,CVG+EP,congestion visceral generalizada + edema pulmonar,9,2,0,"BO_1974_01188,BO_1974_01239,BO_1974_03102,BO_1974_03461,BO_1975_00858",Enfermedades del sistema respiratorio
CVG+EP,CVG+EP,congestion visceral generalizada + edema pulmonar,3,2,0,"BO_1974_02687,BO_1975_04155,BO_1976_03310",Enfermedades del sistema respiratorio
CVG+Gastritis,CVG+Gastritis,congestion visceral generalizada + gastritis,1,2,0,BO_1975_02710,Enfermedades del sistema digestivo
HC+CVG,CVG+HC,congestion visceral generalizada + hemorragia cerebral o herida cortante,1,2,0,BO_1978_04739,Causas externas de morbilidad y de mortalidad
HC+CVY,CVG+HC,congestion visceral generalizada + hemorragia cerebral o herida cortante,1,2,0,BO_1978_00002,Causas externas de morbilidad y de mortalidad
Inf Pol + CVG,CVG+InfPul,congestion visceral generalizada + infarto pulmon,1,2,0,BO_1978_04179,Enfermedades del sistema respiratorio
CVG+Infartos Pulmonares,CVG+InfPul,congestion visceral generalizada + infarto pulmon,1,2,0,BO_1975_00741,Enfermedades del sistema respiratorio
Intox+CVG,CVG+Intox,congestion visceral generalizada + intoxicacion,1,2,0,BO_1979_01195,Causas externas de morbilidad y de mortalidad
CVG (intox),CVG+Intox,congestion visceral generalizada + intoxicacion,1,2,0,BO_1974_01692,Causas externas de morbilidad y de mortalidad
CVG INTOX ARESEMICO,CVG+Intox,congestion visceral generalizada + intoxicacion,1,3,1,BO_1974_02945,Causas externas de morbilidad y de mortalidad
CVG Intox Substancia,CVG+Intox,congestion visceral generalizada + intoxicacion,1,3,1,BO_1976_02202,Causas externas de morbilidad y de mortalidad
Intox.Med x CVG,CVG+IntoxMed,congestion visceral generalizada + intoxicacion por medicamentos,1,2,0,BO_1976_03712,Causas externas de morbilidad y de mortalidad
CVG Intox Med,CVG+IntoxMed,congestion visceral generalizada + intoxicacion por medicamentos,1,2,0,BO_1975_01286,Causas externas de morbilidad y de mortalidad
CVG+LOC,CVG+LOC,congestion visceral generalizada + enfermedad organica del corazon,29,2,0,"BO_1974_01135,BO_1974_02517,BO_1974_03202,BO_1974_04916,BO_1975_01074",Enfermedades del sistema circulatorio
LOC+CVG,CVG+LOC,congestion visceral generalizada + enfermedad organica del corazon,13,2,0,"BO_1974_02749,BO_1975_02138,BO_1976_02997,BO_1976_03801,BO_1976_04054",Enfermedades del sistema circulatorio
CVG+EOC,CVG+LOC,congestion visceral generalizada + enfermedad organica del corazon,4,2,0,"BO_1978_05437,BO_1979_01030,BO_1979_03780,BO_1979_05739",Enfermedades del sistema circulatorio
LOC y CVG,CVG+LOC,congestion visceral generalizada + enfermedad organica del corazon,1,2,0,BO_1974_00314,Enfermedades del sistema circulatorio
EOC+CVG,CVG+LOC,congestion visceral generalizada + enfermedad organica del corazon,1,2,0,BO_1978_00713,Enfermedades del sistema circulatorio
CVG+QUEMADURA+LOC,CVG+LOC+Quem,congestion visceral generalizada + enfermedad organica del corazon + quemaduras,1,3,0,BO_1974_03713,Causas externas de morbilidad y de mortalidad + Enfermedades del sistema circulatorio
N+CVG,CVG+N,congestion visceral generalizada + neumonia,3,2,0,"BO_1974_00271,BO_1974_03012,BO_1975_04284",Enfermedades del sistema respiratorio
IPM PANCREATITIS CVG,CVG+Pancrea,congestion visceral generalizada + pancreatitis,1,3,1,BO_1978_02154,Enfermedades del sistema digestivo
PN+CVG,CVG+PN,congestion visceral generalizada + pleuro pneumonia,3,2,0,"BO_1975_04175,BO_1975_04865,BO_1975_05282",Enfermedades del sistema respiratorio
CVG+PN,CVG+PN,congestion visceral generalizada + pleuro pneumonia,1,2,0,BO_1976_01382,Enfermedades del sistema respiratorio
CVG+Quem,CVG+Quem,congestion visceral generalizada + quemaduras,5,2,0,"BO_1978_03930,BO_1978_04102,BO_1978_05499,BO_1978_06272,BO_1978_06661",Causas externas de morbilidad y de mortalidad
Quem+CVG,CVG+Quem,congestion visceral generalizada + quemaduras,4,2,0,"BO_1975_01080,BO_1978_03177,BO_1978_05498,BO_1978_06618",Causas externas de morbilidad y de mortalidad
CVG+Quemadura,CVG+Quem,congestion visceral generalizada + quemaduras,2,2,0,"BO_1974_04201,BO_1974_05055",Causas externas de morbilidad y de mortalidad
CVG+Quemaduras,CVG+Quem,congestion visceral generalizada + quemaduras,1,2,0,BO_1975_03824,Causas externas de morbilidad y de mortalidad
TCE+CVG Quemaduras,CVG+Quem+TCE,congestion visceral generalizada + quemaduras + traumatismo craneo encefalico,1,3,0,BO_1978_02882,Causas externas de morbilidad y de mortalidad + Trauma
CVG+TB,CVG+TB,congestion visceral generalizada + tuberculosis,1,2,0,BO_1974_01595,Ciertas enfermedades infecciosas y parasitarias
Desnutricion,Desnut,desnutricion,7,1,0,"BO_1974_03435,BO_1975_06316,BO_1976_02012,BO_1976_03416,BO_1976_06126","Enfermedades endocrinas, nutricionales y metabólicas"
DesnuT,Desnut,desnutricion,1,1,0,BO_1976_03274,"Enfermedades endocrinas, nutricionales y metabólicas"
Desnutricion 4 G,Desnut,desnutricion,1,2,1,BO_1979_00609,"Enfermedades endocrinas, nutricionales y metabólicas"
DESNUTRICION,Desnut,desnutricion,1,1,0,BO_1978_00269,"Enfermedades endocrinas, nutricionales y metabólicas"
LOC+Desnut,Desnut+LOC,desnutricion + enfermedad organica del corazon,1,2,0,BO_1975_06378,"Enfermedades del sistema circulatorio + Enfermedades endocrinas, nutricionales y metabólicas"
Diabetes,Diabetes,diabetes,1,1,0,BO_1979_07324,"Enfermedades endocrinas, nutricionales y metabólicas"
Diabetes De cardiopatia,Diabetes,diabetes,1,2,1,BO_1975_00757,"Enfermedades endocrinas, nutricionales y metabólicas"
Diabetes+L,Diabetes,diabetes,1,2,1,BO_1975_05269,"Enfermedades endocrinas, nutricionales y metabólicas"
Coma Diabetico,Diabetes,diabetes,1,2,1,BO_1975_04955,"Enfermedades endocrinas, nutricionales y metabólicas"
Dispensa,Dispensa,dispensa,827,1,0,"BO_1975_00079,BO_1975_00081,BO_1975_00149,BO_1975_00173,BO_1975_00175",
Dispensan,Dispensa,dispensa,81,1,0,"BO_1974_00029,BO_1974_00044,BO_1974_00046,BO_1974_00754,BO_1974_00803",
DIspensa,Dispensa,dispensa,6,1,0,"BO_1975_01129,BO_1975_01185,BO_1975_02699,BO_1975_02932,BO_1975_03243",
Dispensa Rep,Dispensa,dispensa,4,2,1,"BO_1977_05325,BO_1977_05326,BO_1977_05360,BO_1977_05369",
Disp,Dispensa,dispensa,3,1,0,"BO_1974_00416,BO_1974_00453,BO_1974_00455",
DISpensa,Dispensa,dispensa,3,1,0,"BO_1975_03267,BO_1975_03334,BO_1975_03372",
"""Dispensa",Dispensa,dispensa,1,1,0,BO_1978_00191,
Quem+Dispensa,Dispensa+Quem,dispensa + quemaduras,1,2,0,BO_1976_04395,Causas externas de morbilidad y de mortalidad
EC,EC,edema cerebral,52,1,0,"BO_1974_00193,BO_1974_02419,BO_1974_02781,BO_1974_03199,BO_1974_03329",Enfermedades del sistema nervioso
Hipoxia+ EC,EC,edema cerebral,1,2,1,BO_1977_06956,Enfermedades del sistema nervioso
EC+,EC,edema cerebral,1,1,0,BO_1976_00862,Enfermedades del sistema nervioso
EC+AbsesoC,EC+_C,craneo + edema cerebral,1,3,1,BO_1975_04082,Enfermedades del sistema nervioso
EC+EP,EC+EP,edema cerebral + edema pulmonar,4,2,0,"BO_1977_02660,BO_1977_04082,BO_1977_05395,BO_1978_04193",Enfermedades del sistema nervioso + Enfermedades del sistema respiratorio
EC y EP+Intox,EC+EP+Intox,edema cerebral + edema pulmonar + intoxicacion,2,3,0,"BO_1978_03847,BO_1978_03848",Causas externas de morbilidad y de mortalidad + Enfermedades del sistema nervioso + Enfermedades del sistema respiratorio
Quemaduras +EP + EC,EC+EP+Quem,edema cerebral + edema pulmonar + quemaduras,1,3,0,BO_1975_00386,Causas externas de morbilidad y de mortalidad + Enfermedades del sistema nervioso + Enfermedades del sistema respiratorio
EC+HC,EC+HC,edema cerebral + hemorragia cerebral o herida cortante,1,2,0,BO_1978_03860,Causas externas de morbilidad y de mortalidad + Enfermedades del sistema nervioso
EC+INTOX,EC+Intox,edema cerebral + intoxicacion,1,2,0,BO_1974_01369,Causas externas de morbilidad y de mortalidad + Enfermedades del sistema nervioso
EC+Intox,EC+Intox,edema cerebral + intoxicacion,1,2,0,BO_1976_05400,Causas externas de morbilidad y de mortalidad + Enfermedades del sistema nervioso
EC+LOC,EC+LOC,edema cerebral + enfermedad organica del corazon,1,2,0,BO_1975_01004,Enfermedades del sistema circulatorio + Enfermedades del sistema nervioso
Piquete de vibora E Pulmonar y C,EC+Pul,edema cerebral + pulmon,1,3,1,BO_1978_04436,Enfermedades del sistema nervioso
Quem+EC,EC+Quem,edema cerebral + quemaduras,2,2,0,"BO_1978_01474,BO_1978_03053",Causas externas de morbilidad y de mortalidad + Enfermedades del sistema nervioso
QuemEC,EC+Quem,edema cerebral + quemaduras,1,2,0,BO_1975_04099,Causas externas de morbilidad y de mortalidad + Enfermedades del sistema nervioso
EC+TB,EC+TB,edema cerebral + tuberculosis,1,2,0,BO_1978_03530,Ciertas enfermedades infecciosas y parasitarias + Enfermedades del sistema nervioso
TCE+EC,EC+TCE,edema cerebral + traumatismo craneo encefalico,4,2,0,"BO_1975_04059,BO_1976_05212,BO_1976_05241,BO_1978_04340",Enfermedades del sistema nervioso + Trauma
TC+EC,EC+TCer,edema cerebral + traumatismo cervico,1,2,0,BO_1977_05803,Enfermedades del sistema nervioso + Trauma
TM+EC,EC+TM,edema cerebral + traumatismo multiple,1,2,0,BO_1976_01372,Enfermedades del sistema nervioso + Trauma
EC+AP+TMsIs,EC+TMiI,edema cerebral + traumatismo miembro inferior,1,3,1,BO_1978_01030,Enfermedades del sistema nervioso + Trauma
EC+TT,EC+TT,edema cerebral + traumatismo torax,1,2,0,BO_1978_04380,Enfermedades del sistema nervioso + Trauma
Electrocucion,Electroc,electrocucion,145,1,0,"BO_1974_02813,BO_1974_02864,BO_1974_02865,BO_1974_02901,BO_1974_02920",Causas externas de morbilidad y de mortalidad
Electrocutado,Electroc,electrocucion,8,1,0,"BO_1974_00191,BO_1974_00266,BO_1974_00605,BO_1977_00248,BO_1977_00254",Causas externas de morbilidad y de mortalidad
Electrocusion,Electroc,electrocucion,4,1,0,"BO_1978_01673,BO_1978_03455,BO_1978_04457,BO_1978_06018",Causas externas de morbilidad y de mortalidad
ELECTROCUCION,Electroc,electrocucion,3,1,0,"BO_1974_02508,BO_1974_02523,BO_1974_02669",Causas externas de morbilidad y de mortalidad
electrocucion,Electroc,electrocucion,3,1,0,"BO_1974_04375,BO_1974_04669,BO_1974_05137",Causas externas de morbilidad y de mortalidad
Electrofulguracion,Electroc,electrocucion,2,1,0,"BO_1974_01327,BO_1974_03938",Causas externas de morbilidad y de mortalidad
quem x electroc+ proceso de infec,Electroc,electrocucion,1,3,2,BO_1975_06801,Causas externas de morbilidad y de mortalidad
eLE,Electroc,electrocucion,1,1,0,BO_1979_03439,Causas externas de morbilidad y de mortalidad
Electrocu,Electroc,electrocucion,1,1,0,BO_1976_00249,Causas externas de morbilidad y de mortalidad
Electrocucion+Ga,Electroc,electrocucion,1,2,1,BO_1975_06761,Causas externas de morbilidad y de mortalidad
Electrofulgucion,Electroc,electrocucion,1,1,0,BO_1978_04638,Causas externas de morbilidad y de mortalidad
Eletro,Electroc,electrocucion,1,1,0,BO_1976_02240,Causas externas de morbilidad y de mortalidad
Electroc.+Gang.,Electroc+Gang,electrocucion + gangrena,1,2,0,BO_1977_07061,Causas externas de morbilidad y de mortalidad + Enfermedades de la piel y del tejido subcutáneo
Electrocucion + N,Electroc+N,electrocucion + neumonia,1,2,0,BO_1975_00074,Causas externas de morbilidad y de mortalidad + Enfermedades del sistema respiratorio
Quem+TC Electroo,Electroc+Quem+TCer,electrocucion + quemaduras + traumatismo cervico,1,3,0,BO_1976_00128,Causas externas de morbilidad y de mortalidad + Trauma
TA+Electrocucion,Electroc+TA,electrocucion + traumatismo abdomen,1,2,0,BO_1975_01126,Causas externas de morbilidad y de mortalidad + Trauma
Electrocucion+TA,Electroc+TA,electrocucion + traumatismo abdomen,1,2,0,BO_1977_00976,Causas externas de morbilidad y de mortalidad + Trauma
TCA+Electroc,Electroc+TAC,electrocucion + traumatismo abdomen craneo,1,2,0,BO_1978_03296,Causas externas de morbilidad y de mortalidad + Trauma
TCE+Electro,Electroc+TCE,electrocucion + traumatismo craneo encefalico,2,2,0,"BO_1975_01528,BO_1977_05451",Causas externas de morbilidad y de mortalidad + Trauma
TCE+Elec,Electroc+TCE,electrocucion + traumatismo craneo encefalico,1,2,0,BO_1975_00750,Causas externas de morbilidad y de mortalidad + Trauma
TCE+Elect,Electroc+TCE,electrocucion + traumatismo craneo encefalico,1,2,0,BO_1979_00673,Causas externas de morbilidad y de mortalidad + Trauma
Electroc+TCE,Electroc+TCE,electrocucion + traumatismo craneo encefalico,1,2,0,BO_1977_00500,Causas externas de morbilidad y de mortalidad + Trauma
Electrocucion+TCE,Electroc+TCE,electrocucion + traumatismo craneo encefalico,1,2,0,BO_1977_05054,Causas externas de morbilidad y de mortalidad + Trauma
TCer+Electrocucion,Electroc+TCer,electrocucion + traumatismo cervico,1,2,0,BO_1976_04618,Causas externas de morbilidad y de mortalidad + Trauma
Electrocucion+TC,Electroc+TCer,electrocucion + traumatismo cervico,1,2,0,BO_1976_00051,Causas externas de morbilidad y de mortalidad + Trauma
TM+ELEC,Electroc+TM,electrocucion + traumatismo multiple,2,2,0,"BO_1974_02544,BO_1974_02979",Causas externas de morbilidad y de mortalidad + Trauma
TM+Electroc,Electroc+TM,electrocucion + traumatismo multiple,2,2,0,"BO_1975_03184,BO_1978_00885",Causas externas de morbilidad y de mortalidad + Trauma
TMy Electrocusion,Electroc+TM,electrocucion + traumatismo multiple,1,2,0,BO_1978_03207,Causas externas de morbilidad y de mortalidad + Trauma
TM y Electrocucion,Electroc+TM,electrocucion + traumatismo multiple,1,2,0,BO_1978_03666,Causas externas de morbilidad y de mortalidad + Trauma
TM+Electrocucion,Electroc+TM,electrocucion + traumatismo multiple,1,2,0,BO_1977_05701,Causas externas de morbilidad y de mortalidad + Trauma
TP+Electroc,Electroc+TP,electrocucion + traumatismo pelvis,1,2,0,BO_1978_04708,Causas externas de morbilidad y de mortalidad + Trauma
TT+Elec,Electroc+TT,electrocucion + traumatismo torax,1,2,0,BO_1977_04872,Causas externas de morbilidad y de mortalidad + Trauma
TTA+Elect,Electroc+TTA,electrocucion + traumatismo torax abdomen,1,2,0,BO_1975_03039,Causas externas de morbilidad y de mortalidad + Trauma
Encefalocele,Encef,encefalo,1,1,0,BO_1978_05960,
Encefalo ce,Encef,encefalo,1,1,0,BO_1976_00338,
Moningo encef,Encef+Mening,encefalo + meningo,1,2,0,BO_1977_00611,
Meningocele,Encef+Mening,encefalo + meningo,1,2,0,BO_1979_07212,
T Encefalico,Encef+Trau,encefalo + traumatismo,1,2,0,BO_1974_01654,Trauma
ENCEFALOMALASIA,Encefalomalacia,encefalomalacia,1,1,0,BO_1974_02143,Enfermedades del sistema nervioso
Encefalomalasia,Encefalomalacia,encefalomalacia,1,1,0,BO_1976_04822,Enfermedades del sistema nervioso
Endometrio Premenstrual,Endo,endometrio,1,2,1,BO_1978_07137,
HPAFP+SH endo,Endo+HPAF+SH,endometrio + herida arma fuego + shock,1,3,0,BO_1976_04682,Herida por arma de fuego
N+ENDOMETRITIS,Endo+N,endometrio + neumonia,1,2,0,BO_1978_03861,Enfermedades del sistema respiratorio
Enteritis,ENT,enteritis,10,1,0,"BO_1974_03973,BO_1975_03616,BO_1975_04174,BO_1975_04879,BO_1976_04544",Enfermedades del sistema digestivo
ENT,ENT,enteritis,8,1,0,"BO_1974_01372,BO_1974_01778,BO_1974_02994,BO_1974_04746,BO_1974_05067",Enfermedades del sistema digestivo
Ent,ENT,enteritis,2,1,0,"BO_1975_02154,BO_1976_02238",Enfermedades del sistema digestivo
ENT+AEP,ENT,enteritis,1,2,1,BO_1979_04832,Enfermedades del sistema digestivo
Ent Gral Mal,ENT,enteritis,1,3,2,BO_1979_07080,Enfermedades del sistema digestivo
Enter,ENT,enteritis,1,1,0,BO_1977_01523,Enfermedades del sistema digestivo
EnT Hemorragia,ENT,enteritis,1,2,1,BO_1976_06128,Enfermedades del sistema digestivo
N+ENT,ENT+N,enteritis + neumonia,9,2,0,"BO_1974_01286,BO_1974_01320,BO_1974_01379,BO_1974_01576,BO_1974_02074",Enfermedades del sistema digestivo + Enfermedades del sistema respiratorio
N+Ent,ENT+N,enteritis + neumonia,1,2,0,BO_1974_01160,Enfermedades del sistema digestivo + Enfermedades del sistema respiratorio
PN+ENT,ENT+PN,enteritis + pleuro pneumonia,2,2,0,"BO_1974_01726,BO_1974_02138",Enfermedades del sistema digestivo + Enfermedades del sistema respiratorio
TA+En,ENT+TA,enteritis + traumatismo abdomen,1,2,0,BO_1977_01619,Enfermedades del sistema digestivo + Trauma
Enterocolitis,ENTCO,enterocolitis,2,1,0,"BO_1975_03097,BO_1977_05517",Enfermedades del sistema digestivo
S+Enterocolitis,ENTCO+Septi,enterocolitis + septicemia,1,2,0,BO_1976_02190,Ciertas enfermedades infecciosas y parasitarias + Enfermedades del sistema digestivo
EP,EP,edema pulmonar,46,1,0,"BO_1974_00407,BO_1974_00848,BO_1974_00918,BO_1974_03392,BO_1975_02052",Enfermedades del sistema respiratorio
EPSM,EP,edema pulmonar,3,2,1,"BO_1974_05330,BO_1974_05396,BO_1978_06888",Enfermedades del sistema respiratorio
EpxPSM,EP,edema pulmonar,3,2,1,"BO_1976_06571,BO_1976_06664,BO_1976_06740",Enfermedades del sistema respiratorio
EP+L,EP,edema pulmonar,2,2,1,"BO_1975_00703,BO_1975_01442",Enfermedades del sistema respiratorio
CC+EP,EP,edema pulmonar,1,2,1,BO_1978_06555,Enfermedades del sistema respiratorio
EP+LOO,EP,edema pulmonar,1,2,1,BO_1976_05580,Enfermedades del sistema respiratorio
EP+CACV,EP,edema pulmonar,1,2,1,BO_1979_01101,Enfermedades del sistema respiratorio
EP+EstMitral,EP,edema pulmonar,1,2,1,BO_1975_06096,Enfermedades del sistema respiratorio
EP+MC,EP,edema pulmonar,1,2,1,BO_1978_03188,Enfermedades del sistema respiratorio
Ep+IAC,EP,edema pulmonar,1,2,1,BO_1979_04466,Enfermedades del sistema respiratorio
Chem+EP,EP,edema pulmonar,1,2,1,BO_1976_00388,Enfermedades del sistema respiratorio
Per+Endomet[]+EP+LOC,EP+Endo+LOC+PER,edema pulmonar + endometrio + enfermedad organica del corazon + peritonitis o perforacion,1,4,0,BO_1975_03689,Enfermedades del sistema circulatorio + Enfermedades del sistema digestivo + Enfermedades del sistema respiratorio
HC+EP,EP+HC,edema pulmonar + hemorragia cerebral o herida cortante,1,2,0,BO_1975_03319,Causas externas de morbilidad y de mortalidad + Enfermedades del sistema respiratorio
EP+INT MED,EP+Intes,edema pulmonar + intestino,2,3,1,"BO_1974_02448,BO_1974_02510",Enfermedades del sistema respiratorio
EP+LOC,EP+LOC,edema pulmonar + enfermedad organica del corazon,8,2,0,"BO_1974_02831,BO_1974_03649,BO_1974_04409,BO_1975_01247,BO_1977_03330",Enfermedades del sistema circulatorio + Enfermedades del sistema respiratorio
LOC+EP,EP+LOC,edema pulmonar + enfermedad organica del corazon,3,2,0,"BO_1975_04198,BO_1978_03354,BO_1978_03970",Enfermedades del sistema circulatorio + Enfermedades del sistema respiratorio
EP+EOC,EP+LOC,edema pulmonar + enfermedad organica del corazon,1,2,0,BO_1979_01120,Enfermedades del sistema circulatorio + Enfermedades del sistema respiratorio
EPno T,EP+noT,edema pulmonar + no traumatica,1,2,0,BO_1978_02954,Enfermedades del sistema respiratorio
EP+PANCREATITIS,EP+Pancrea,edema pulmonar + pancreatitis,1,2,0,BO_1974_03037,Enfermedades del sistema digestivo + Enfermedades del sistema respiratorio
EP+Pancreatitis,EP+Pancrea,edema pulmonar + pancreatitis,1,2,0,BO_1976_03445,Enfermedades del sistema digestivo + Enfermedades del sistema respiratorio
EP+Per,EP+PER,edema pulmonar + peritonitis o perforacion,1,2,0,BO_1975_05204,Enfermedades del sistema digestivo + Enfermedades del sistema respiratorio
PN+EP,EP+PN,edema pulmonar + pleuro pneumonia,2,2,0,"BO_1974_03733,BO_1976_02059",Enfermedades del sistema respiratorio
Quem+EP,EP+Quem,edema pulmonar + quemaduras,23,2,0,"BO_1975_00388,BO_1975_02850,BO_1975_04078,BO_1975_04665,BO_1975_04679",Causas externas de morbilidad y de mortalidad + Enfermedades del sistema respiratorio
