Procedencia_transcrito,Procedencia_estandar,Procedencia_extendido,Freq,Npartes,Nfalta,IDs,Procedencia_alcaldia
MH-I-,MH-1,Coord Territorial 1 Miguel Hidalgo – Hospital Ruben Leñero (Col Tacuba),8,1,0,"BO_1977_05374,BO_1977_05595,BO_1977_05642,BO_1977_06763,BO_1977_06764",Miguel Hidalgo
H.R.L.,HGRL,Hospital Ruben Leñero (Col Santo Tomas),8,1,0,"BO_1968_01063,BO_1968_01071,BO_1968_01076,BO_1968_01080,BO_1968_01087",Miguel Hidalgo
CH II,CUH-2,Coord Territorial 2 Cuauhtémoc (Col Buenavista),8,1,0,"BO_1977_05870,BO_1977_05885,BO_1977_05900,BO_1977_05914,BO_1977_05926",Cuauhtemoc
3a Deleg.,CUH-7,Coord Territorial 7 Cuauhtemoc (Col Roma),8,1,0,"BO_1972_01344,BO_1972_01355,BO_1972_01385,BO_1972_01614,BO_1972_01766",Cuauhtemoc
BJ-I-,BJ-1,Coord Territorial 1 Benito Juarez (Col Santa Cruz Atoyac),8,1,0,"BO_1977_05597,BO_1977_05615,BO_1977_05616,BO_1977_06776,BO_1977_06780",Benito Juarez
13a delegacion,GAM-2,Coord Territorial 2 Gustavo A Madero (Col Aragon La Villa),7,1,0,"BO_1969_00913,BO_1973_05056,BO_1973_05061,BO_1973_05074,BO_1973_05125",Gustavo A Madero
H.T. Balbuena,HB,Hospital Balbuena (Col Jardin Balbuena),7,1,0,"BO_1968_00746,BO_1968_00747,BO_1968_00748,BO_1971_01221,BO_1972_01317",Venustiano Carranza
GAM I,GAM-1,Coord Territorial 1 Gustavo A Madero (Col Cuautepec Barrio Bajo),7,1,0,"BO_1977_05883,BO_1977_05908,BO_1977_05958,BO_1977_05967,BO_1977_05990",Gustavo A Madero
BJ-CH,HCMS21,Hospital Centro Médico Nacional Siglo XXI (Col Doctores),7,1,0,"BO_1975_02136,BO_1975_03058,BO_1976_00538,BO_1977_01206,BO_1977_01800",Cuauhtemoc
CH-I-,CUH-1,Coord Territorial 1 Cuauhtemoc (Col San Simon Tolnahuac),7,1,0,"BO_1977_05381,BO_1977_05419,BO_1977_05643,BO_1977_06752,BO_1977_06753",Cuauhtemoc
IZA-II-,IZP-2,Coord Territorial 2 Iztapalapa (Barrio Santa Barbara),7,1,0,"BO_1977_05637,BO_1977_06782,BO_1977_06800,BO_1977_06934,BO_1977_06935",Iztapalapa
GAM-III-,GAM-3,Coord Territorial 3 Gustavo A Madero - Hosp Mag Salinas (Col Magdalena de las Salinas),7,1,0,"BO_1977_05407,BO_1977_05635,BO_1977_06759,BO_1977_06796,BO_1977_06928",Gustavo A Madero
13a deleg.,GAM-2,Coord Territorial 2 Gustavo A Madero (Col Aragon La Villa),7,1,0,"BO_1972_03698,BO_1972_03832,BO_1972_03988,BO_1972_04148,BO_1972_04149",Gustavo A Madero
Milpa Alta,MIL-1,Coord Territorial 1 Milpa Alta (Col Milpa Alta),7,1,0,"BO_1968_02228,BO_1968_02418,BO_1969_01144,BO_1969_02330,BO_1969_04213",Milpa Alta
CH III,CUH-3,Coord Territorial 3 Cuauhtémoc (Col Morelos),7,1,0,"BO_1977_05899,BO_1977_05904,BO_1977_05909,BO_1977_05953,BO_1977_05957",Cuauhtemoc
AZ I,AZC-1,Coord Territorial 1 Azcapotzalco (Col El Rosario),7,1,0,"BO_1977_05892,BO_1977_05945,BO_1977_05954,BO_1977_05964,BO_1977_05982",Azcapotzalco
Balbuena,HB,Hospital Balbuena (Col Jardin Balbuena),7,1,0,"BO_1968_00967,BO_1968_01511,BO_1968_03031,BO_1968_03072,BO_1971_03705",Venustiano Carranza
12a Del,BJ-2,Coord Territorial 2 Benito Juarez (Col Santa Cruz Atoyac),7,1,0,"BO_1968_01211,BO_1968_01219,BO_1968_01288,BO_1968_01345,BO_1968_01361",Benito Juarez
H.T.V,HV,Hospital la Villa (Col Granjas Modernas),6,1,0,"BO_1968_01008,BO_1972_05397,BO_1973_04161,BO_1973_04260,BO_1973_05541",Gustavo A Madero
IZA-I-,IZP-1,Coord Territorial 1 Iztapalapa (Barrio de San Lucas),6,1,0,"BO_1977_05397,BO_1977_05398,BO_1977_05408,BO_1977_06790,BO_1977_06792",Iztapalapa
PGR,PGR,Procuraduria General de la Republica,6,1,0,"BO_1974_02219,BO_1974_04534,BO_1974_04535,BO_1974_04536,BO_1974_04537",
30,MH-4,Coord Territorial 4 Miguel Hidalgo (Col Ampliacion Daniel Garza),6,1,0,"BO_1980_07567,BO_1981_00447,BO_1981_01360,BO_1981_02927,BO_1981_06328",Miguel Hidalgo
BJ-H20,HCMS21,Hospital Centro Médico Nacional Siglo XXI (Col Doctores),6,1,0,"BO_1975_00368,BO_1975_06446,BO_1975_06458,BO_1975_06490,BO_1975_06548",Cuauhtemoc
MH-CR-,CR,Cruz Roja (Col Polanco),6,1,0,"BO_1977_05620,BO_1977_05623,BO_1977_05631,BO_1977_05638,BO_1977_07014",Miguel Hidalgo
MH-II-,MH-2,Coord Territorial 2 Miguel Hidalgo (Col Pensil),6,1,0,"BO_1977_05375,BO_1977_05387,BO_1977_05396,BO_1977_05609,BO_1977_05624",Miguel Hidalgo
AZ-I-,AZC-1,Coord Territorial 1 Azcapotzalco (Col El Rosario),6,1,0,"BO_1977_05641,BO_1977_05645,BO_1977_06794,BO_1977_06802,BO_1977_06936",Azcapotzalco
BJ-III-,BJ-3,Coord Territorial 3 Benito Juarez (Col Zacahuizco),5,1,0,"BO_1977_05594,BO_1977_05598,BO_1977_05640,BO_1977_06798,BO_1977_06803",Benito Juarez
H.T.Balbuena,HB,Hospital Balbuena (Col Jardin Balbuena),5,1,0,"BO_1972_00880,BO_1972_01258,BO_1972_01290,BO_1972_01347,BO_1972_02097",Venustiano Carranza
4a Deleg.,CUH-8,Coord Territorial 8 Cuauhtemoc (Col Obrera),5,1,0,"BO_1972_01361,BO_1972_01396,BO_1972_01665,BO_1972_01744,BO_1972_01931",Cuauhtemoc
VC-MB,VC-1,Coord Territorial 1 Venustiano Carranza (Col Merced),5,1,0,"BO_1976_05530,BO_1976_05548,BO_1976_05549,BO_1976_05550,BO_1976_06309",Venustiano Carranza
Obregon,AO-1,Coord Territorial 1 Alvaro Obregon (Col Cristo Rey),5,1,0,"BO_1969_02342,BO_1969_02343,BO_1969_02346,BO_1969_02375,BO_1973_03349",Alvaro Obregon
VC-I-,VC-1,Coord Territorial 1 Venustiano Carranza (Col Merced),5,1,0,"BO_1977_05386,BO_1977_05649,BO_1977_06768,BO_1977_06799,BO_1977_06997",Venustiano Carranza
13a. Del.,GAM-2,Coord Territorial 2 Gustavo A Madero (Col Aragon La Villa),5,1,0,"BO_1968_00997,BO_1968_01018,BO_1968_01021,BO_1968_01047,BO_1968_01100",Gustavo A Madero
12a Deleg.,BJ-2,Coord Territorial 2 Benito Juarez (Col Santa Cruz Atoyac),5,1,0,"BO_1972_01378,BO_1972_01409,BO_1972_01546,BO_1972_01756,BO_1972_01774",Benito Juarez
CH-X,HX,Hospital Xoco (Col General Anaya),4,1,0,"BO_1975_02611,BO_1977_03660,BO_1977_03682,BO_1977_03698",Benito Juarez
3a Delegacion,CUH-7,Coord Territorial 7 Cuauhtemoc (Col Roma),4,1,0,"BO_1973_00836,BO_1973_04728,BO_1973_05422,BO_1973_06057",Cuauhtemoc
OTU,AO-1,Coord Territorial 1 Alvaro Obregon (Col Cristo Rey),4,1,0,"BO_1976_01835,BO_1976_02711,BO_1976_02712,BO_1976_04769",Alvaro Obregon
TP I,TLP-1,Coord Territorial 1 Tlalpan (Col Ampliacion Miguel Hidalgo),4,1,0,"BO_1977_05931,BO_1977_05942,BO_1977_05993,BO_1977_06031",Tlalpan
MA,MIL-1,Coord Territorial 1 Milpa Alta (Col Milpa Alta),4,1,0,"BO_1970_01091,BO_1970_01525,BO_1970_02133,BO_1976_01902",Milpa Alta
BJ-H20N-,HCMS21,Hospital Centro Médico Nacional Siglo XXI (Col Doctores),4,1,0,"BO_1977_05380,BO_1977_05406,BO_1977_07003,BO_1977_07004",Cuauhtemoc
TC,TLP-1,Coord Territorial 1 Tlalpan (Col Ampliacion Miguel Hidalgo),4,1,0,"BO_1970_01205,BO_1970_01330,BO_1970_01602,BO_1970_02028",Tlalpan
GAM III,GAM-3,Coord Territorial 3 Gustavo A Madero - Hosp Mag Salinas (Col Magdalena de las Salinas),4,1,0,"BO_1977_05826,BO_1977_05920,BO_1977_05923,BO_1977_06021",Gustavo A Madero
Coyoacán,COY-1,Coord Territorial 1 Coyoacan (Col Romero de Terreros),4,1,0,"BO_1972_01421,BO_1972_01595,BO_1972_01658,BO_1972_01939",Coyoacan
20A,IZP-5,Coord Territorial 5 Iztapalapa (Col V Guerrero),4,1,0,"BO_1979_01775,BO_1982_06275,BO_1982_06276,BO_1982_06293",Iztapalapa
H.T. Blabuena,HB,Hospital Balbuena (Col Jardin Balbuena),4,1,0,"BO_1972_01310,BO_1972_01411,BO_1972_01598,BO_1972_01599",Venustiano Carranza
10a Deleg.,BJ-1,Coord Territorial 1 Benito Juarez (Col Santa Cruz Atoyac),4,1,0,"BO_1972_01623,BO_1972_01718,BO_1972_01768,BO_1972_04584",Benito Juarez
CHX,HX,Hospital Xoco (Col General Anaya),4,1,0,"BO_1975_06807,BO_1976_00176,BO_1976_00398,BO_1977_01175",Benito Juarez
MH HRL,HGRL,Hospital Ruben Leñero (Col Santo Tomas),4,1,0,"BO_1977_05935,BO_1977_06005,BO_1977_06071,BO_1977_06072",Miguel Hidalgo
13 Deleg.,GAM-2,Coord Territorial 2 Gustavo A Madero (Col Aragon La Villa),4,1,0,"BO_1972_04692,BO_1972_04727,BO_1972_04751,BO_1973_04142",Gustavo A Madero
50a,SC,,4,1,0,"BO_1979_01440,BO_1979_04268,BO_1979_05521,BO_1982_02467",
C-I-,CUH-1,Coord Territorial 1 Cuauhtemoc (Col San Simon Tolnahuac),4,1,0,"BO_1977_05378,BO_1977_05596,BO_1977_06981,BO_1977_07006",Cuauhtemoc
AO I,AO-1,Coord Territorial 1 Alvaro Obregon (Col Cristo Rey),4,1,0,"BO_1977_05948,BO_1977_05956,BO_1977_05986,BO_1977_05992",Alvaro Obregon
H. de B.,HB,Hospital Balbuena (Col Jardin Balbuena),4,1,0,"BO_1972_01919,BO_1972_01920,BO_1972_01921,BO_1972_01943",Venustiano Carranza
C. Roja,CR,Cruz Roja (Col Polanco),4,1,0,"BO_1971_00874,BO_1972_01949,BO_1972_03782,BO_1972_03803",Miguel Hidalgo
IZO I,IZC-1,Coord Territorial 1 Iztacalco (Col Santa Anita),3,1,0,"BO_1977_05888,BO_1977_05889,BO_1977_06008",Iztacalco
H.T. Villa,HV,Hospital la Villa (Col Granjas Modernas),3,1,0,"BO_1968_00853,BO_1972_01375,BO_1972_03600",Gustavo A Madero
Centro Medico,HCMS21,Hospital Centro Médico Nacional Siglo XXI (Col Doctores),3,1,0,"BO_1968_01384,BO_1971_00881,BO_1972_04669",Cuauhtemoc
MC,MC-1,Coord Territorial 1 Magdalena Contreras (Col Ampliacion Contreras),3,1,0,"BO_1970_00809,BO_1970_02085,BO_1970_04427",Magdalena Contreras
CO-I-,COY-1,Coord Territorial 1 Coyoacan (Col Romero de Terreros),3,1,0,"BO_1977_06754,BO_1977_06779,BO_1977_07023",Coyoacan
C-VC-HB,HB,Hospital Balbuena (Col Jardin Balbuena),3,1,0,"BO_1975_06808,BO_1975_06831,BO_1975_06853",Venustiano Carranza
MH-HRL-C,HGRL,Hospital Ruben Leñero (Col Santo Tomas),3,1,0,"BO_1975_03735,BO_1975_04159,BO_1975_06805",Miguel Hidalgo
GAM HV,HV,Hospital la Villa (Col Granjas Modernas),3,1,0,"BO_1977_05887,BO_1977_05974,BO_1977_06070",Gustavo A Madero
BJ-H,HCMS21,Hospital Centro Médico Nacional Siglo XXI (Col Doctores),3,1,0,"BO_1975_00024,BO_1975_00035,BO_1976_06022",Cuauhtemoc
MH I,MH-1,Coord Territorial 1 Miguel Hidalgo – Hospital Ruben Leñero (Col Tacuba),3,1,0,"BO_1977_05886,BO_1977_05997,BO_1977_06028",Miguel Hidalgo
CH I,CUH-1,Coord Territorial 1 Cuauhtemoc (Col San Simon Tolnahuac),3,1,0,"BO_1977_05968,BO_1977_05996,BO_1977_06000",Cuauhtemoc
GAM IV,GAM-4,Coord Territorial 4 Gustavo A Madero (Col Aragon la Villa),3,1,0,"BO_1977_05867,BO_1977_05871,BO_1977_05991",Gustavo A Madero
GAM-HB,HB,Hospital Balbuena (Col Jardin Balbuena),3,1,0,"BO_1975_05285,BO_1976_05767,BO_1977_04075",Venustiano Carranza
IZA-3,IZP-3,Coord Territorial 3 Iztapalapa (Central de Abastos),3,1,0,"BO_1975_04700,BO_1976_02145,BO_1976_03079",Iztapalapa
CH-II-,CUH-2,Coord Territorial 2 Cuauhtémoc (Col Buenavista),3,1,0,"BO_1977_05632,BO_1977_06766,BO_1977_07020",Cuauhtemoc
C.M. Nal.,CMN20N,Hospital Centro Medico Nacional 20 de Noviembre (Col del Valle Sur),3,1,0,"BO_1972_01737,BO_1973_01874,BO_1973_01978",Benito Juarez
H. T. La Villa,HV,Hospital la Villa (Col Granjas Modernas),3,1,0,"BO_1971_01358,BO_1971_01359,BO_1971_01647",Gustavo A Madero
MH-CA,CR,Cruz Roja (Col Polanco),3,1,0,"BO_1977_01172,BO_1977_01481,BO_1977_01621",Miguel Hidalgo
CH IV,CUH-4,Coord Territorial 4 Cuauhtémoc (Col Centro),3,1,0,"BO_1977_05973,BO_1977_05978,BO_1977_06043",Cuauhtemoc
H.T. Xoco,HX,Hospital Xoco (Col General Anaya),3,1,0,"BO_1972_01360,BO_1973_01194,BO_1973_01954",Benito Juarez
13a Delegacion,GAM-2,Coord Territorial 2 Gustavo A Madero (Col Aragon La Villa),3,1,0,"BO_1973_04751,BO_1973_05270,BO_1973_05530",Gustavo A Madero
VC-3,VC-3,Coord Territorial 3 Venustiano Carranza – Hospital De  Balbuena (Col Jardin Balbuena),3,1,0,"BO_1975_00783,BO_1976_02734,BO_1976_03271",Venustiano Carranza
16a Del.,GAM-7,Coord Territorial 7 Gustavo A Madero (Col San Juan de Aragon),3,1,0,"BO_1968_01320,BO_1968_01490,BO_1968_02389",Gustavo A Madero
18A,IZC-2,Coord Territorial 2 Iztacalco (Col Gabriel Ramos Millan),3,1,0,"BO_1970_00985,BO_1974_04278,BO_1982_06291",Iztacalco
16A,GAM-7,Coord Territorial 7 Gustavo A Madero (Col San Juan de Aragon),3,1,0,"BO_1970_01274,BO_1974_04822,BO_1982_06285",Gustavo A Madero
37A,CR,Cruz Roja (Col Polanco),3,1,0,"BO_1982_00001,BO_1982_06281,BO_1982_06299",Miguel Hidalgo
V. Obregon,VO,Villa Obregon,3,1,0,"BO_1971_00879,BO_1971_01217,BO_1971_03064",Alvaro Obregon
39a,GAM-2,Coord Territorial 2 Gustavo A Madero (Col Aragon La Villa),3,1,0,"BO_1977_07153,BO_1978_03710,BO_1979_02396",Gustavo A Madero
AZ,AZC-1,Coord Territorial 1 Azcapotzalco (Col El Rosario),3,1,0,"BO_1975_05978,BO_1976_01837,BO_1977_00025",Azcapotzalco
V.O,VO,Villa Obregon,3,1,0,"BO_1972_04608,BO_1973_05416,BO_1973_05458",Alvaro Obregon
33A,HB,Hospital Balbuena (Col Jardin Balbuena),3,1,0,"BO_1979_01134,BO_1979_02315,BO_1979_05594",Venustiano Carranza
VAO,AO-1,Coord Territorial 1 Alvaro Obregon (Col Cristo Rey),3,1,0,"BO_1974_00135,BO_1974_05396,BO_1974_05397",Alvaro Obregon
9a Delegacion,MH-1,Coord Territorial 1 Miguel Hidalgo – Hospital Ruben Leñero (Col Tacuba),3,1,0,"BO_1973_05170,BO_1973_05180,BO_1973_05188",Miguel Hidalgo
2a deelg,VC-1,Coord Territorial 1 Venustiano Carranza (Col Merced),3,1,0,"BO_1973_01570,BO_1973_01774,BO_1973_03493",Venustiano Carranza
AO,AO-1,Coord Territorial 1 Alvaro Obregon (Col Cristo Rey),3,1,0,"BO_1970_01241,BO_1970_02125,BO_1970_02128",Alvaro Obregon
MH-III,MH-3,Coord Territorial 3 Miguel Hidalgo – Hospital Cruz Roja (Col Lomas de Chapultepec),3,1,0,"BO_1977_01651,BO_1977_01711,BO_1977_04787",Miguel Hidalgo
Alvaro Obregon,AO-1,Coord Territorial 1 Alvaro Obregon (Col Cristo Rey),3,1,0,"BO_1969_00989,BO_1973_01437,BO_1973_01440",Alvaro Obregon
24A,AOB-3,Coord Territorial 3 Alvaro Obregon (Col Progreso Tizapan),3,1,0,"BO_1979_01776,BO_1982_06272,BO_1982_06290",Alvaro Obregon
23A,TLP-2,Coord Territorial 2 Tlalpan (Col La Joya),3,1,0,"BO_1982_06267,BO_1982_06271,BO_1982_06282",Tlalpan
10 deleg,BJ-1,Coord Territorial 1 Benito Juarez (Col Santa Cruz Atoyac),3,1,0,"BO_1969_01046,BO_1969_03999,BO_1973_01707",Benito Juarez
VI-HB,HB,Hospital Balbuena (Col Jardin Balbuena),2,1,0,"BO_1977_01791,BO_1977_05782",Venustiano Carranza
VCHB,HB,Hospital Balbuena (Col Jardin Balbuena),2,1,0,"BO_1977_00448,BO_1977_05721",Venustiano Carranza
C-MH-HRL,HGRL,Hospital Ruben Leñero (Col Santo Tomas),2,1,0,"BO_1975_03077,BO_1975_05097",Miguel Hidalgo
7a. Delegacion,CUH-6,Coord Territorial 6 Cuauhtemoc (Col Centro),2,1,0,"BO_1973_04920,BO_1973_05409",Cuauhtemoc
Villa A. Obregon,VO,Villa Obregon,2,1,0,"BO_1971_02249,BO_1972_02014",Alvaro Obregon
CH VI,CUH-6,Coord Territorial 6 Cuauhtemoc (Col Centro),2,1,0,"BO_1977_06020,BO_1977_06022",Cuauhtemoc
4a Delegacion,CUH-8,Coord Territorial 8 Cuauhtemoc (Col Obrera),2,1,0,"BO_1973_04764,BO_1973_06076",Cuauhtemoc
CH,CUH-1,Coord Territorial 1 Cuauhtemoc (Col San Simon Tolnahuac),2,1,0,"BO_1974_05402,BO_1975_02411",Cuauhtemoc
GAM-II-,GAM-2,Coord Territorial 2 Gustavo A Madero (Col Aragon La Villa),2,1,0,"BO_1977_06758,BO_1977_06784",Gustavo A Madero
R.L.,HGRL,Hospital Ruben Leñero (Col Santo Tomas),2,1,0,"BO_1973_03173,BO_1973_03174",Miguel Hidalgo
Ia Deleg ,CUH-1,Coord Territorial 1 Cuauhtemoc (Col San Simon Tolnahuac),2,1,0,"BO_1972_00917,BO_1972_02062",Cuauhtemoc
IZO-2,IZC-2,Coord Territorial 2 Iztacalco (Col Gabriel Ramos Millan),2,1,0,"BO_1975_01338,BO_1975_03566",Iztacalco
16a Deleg,GAM-2,Coord Territorial 2 Gustavo A Madero (Col Aragon La Villa),2,1,0,"BO_1972_01223,BO_1972_01244",Gustavo A Madero
VI-II,VC-2,Coord Territorial 2 Venustiano Carranza (Col Moctezuma 2a Seccion),2,1,0,"BO_1977_01477,BO_1977_03672",Venustiano Carranza
15a Deleg,GAM-2,Coord Territorial 2 Gustavo A Madero (Col Aragon La Villa),2,1,0,"BO_1971_01858,BO_1973_04485",Gustavo A Madero
14a Delegacion,AZC-2,Coord Territorial 2 Azcapotzalco (Col Del Maestro),2,1,0,"BO_1973_04741,BO_1973_05309",Azcapotzalco
TP-I-,TLP-1,Coord Territorial 1 Tlalpan (Col Ampliacion Miguel Hidalgo),2,1,0,"BO_1977_06748,BO_1977_06771",Tlalpan
CJ-CM,HCMS21,Hospital Centro Médico Nacional Siglo XXI (Col Doctores),2,1,0,"BO_1975_03047,BO_1975_03048",Cuauhtemoc
20aa,IZP-5,Coord Territorial 5 Iztapalapa (Col V Guerrero),2,1,0,"BO_1982_03900,BO_1982_04749",Iztapalapa
20a Deleg,IZP-5,Coord Territorial 5 Iztapalapa (Col V Guerrero),2,1,0,"BO_1971_01889,BO_1973_05449",Iztapalapa
Hosp Villa,HV,Hospital la Villa (Col Granjas Modernas),2,1,0,"BO_1972_01140,BO_1972_01141",Gustavo A Madero
IZA I,IZP-1,Coord Territorial 1 Iztapalapa (Barrio de San Lucas),2,1,0,"BO_1977_05929,BO_1977_05988",Iztapalapa
CU I,CUH-1,Coord Territorial 1 Cuauhtemoc (Col San Simon Tolnahuac),2,1,0,"BO_1977_05960,BO_1977_06032",Cuauhtemoc
1a deleg.,CUH-1,Coord Territorial 1 Cuauhtemoc (Col San Simon Tolnahuac),2,1,0,"BO_1972_04475,BO_1972_05399",Cuauhtemoc
28A,TLH-2,Coord Territorial 2 Tlahuac (Col Barrio La Asuncion),2,1,0,"BO_1974_03361,BO_1979_01774",Tlahuac
2a Delegacion,VC-1,Coord Territorial 1 Venustiano Carranza (Col Merced),2,1,0,"BO_1973_05175,BO_1973_06053",Venustiano Carranza
DGAP,SC,,2,1,0,"BO_1979_00103,BO_1979_05029",
CI,CUH-1,Coord Territorial 1 Cuauhtemoc (Col San Simon Tolnahuac),2,1,0,"BO_1976_00122,BO_1977_05838",Cuauhtemoc
TP.I-,TLP-1,Coord Territorial 1 Tlalpan (Col Ampliacion Miguel Hidalgo),2,1,0,"BO_1977_05388,BO_1977_05389",Tlalpan
31a,BJ-1,Coord Territorial 1 Benito Juarez (Col Santa Cruz Atoyac),2,1,0,"BO_1979_07080,BO_1982_03510",Benito Juarez
CH-IV-,CUH-4,Coord Territorial 4 Cuauhtémoc (Col Centro),2,1,0,"BO_1977_06775,BO_1977_06778",Cuauhtemoc
33a+30a,HB+MH-4,Coord Territorial 4 Miguel Hidalgo (Col Ampliacion Daniel Garza) + Hospital Balbuena (Col Jardin Balbuena),2,2,0,"BO_1977_02043,BO_1982_01735",Miguel Hidalgo + Venustiano Carranza
CH-III-,CUH-3,Coord Territorial 3 Cuauhtémoc (Col Morelos),2,1,0,"BO_1977_05403,BO_1977_06774",Cuauhtemoc
GAM,GAM-1,Coord Territorial 1 Gustavo A Madero (Col Cuautepec Barrio Bajo),2,1,0,"BO_1975_01348,BO_1975_05531",Gustavo A Madero
Iztacala,AZC-1,Coord Territorial 1 Azcapotzalco (Col El Rosario),2,1,0,"BO_1968_00811,BO_1968_02394",Azcapotzalco
19A,IZP-1,Coord Territorial 1 Iztapalapa (Barrio de San Lucas),2,1,0,"BO_1974_05051,BO_1982_06294",Iztapalapa
18a Deleg,IZC-2,Coord Territorial 2 Iztacalco (Col Gabriel Ramos Millan),2,1,0,"BO_1971_01900,BO_1972_01226",Iztacalco
16a deleg,GAM-2,Coord Territorial 2 Gustavo A Madero (Col Aragon La Villa),2,1,0,"BO_1969_00985,BO_1969_00991",Gustavo A Madero
13a. Delegacion,GAM-2,Coord Territorial 2 Gustavo A Madero (Col Aragon La Villa),2,1,0,"BO_1973_06052,BO_1973_06074",Gustavo A Madero
CV-II,TLP-2,Coord Territorial 2 Tlalpan (Col La Joya),2,1,0,"BO_1976_00278,BO_1976_06519",Tlalpan
HCX,HX,Hospital Xoco (Col General Anaya),2,1,0,"BO_1976_03818,BO_1976_05237",Benito Juarez
C-HV,HV,Hospital la Villa (Col Granjas Modernas),2,1,0,"BO_1977_01677,BO_1977_04101",Gustavo A Madero
izatapalapa,IZP-1,Coord Territorial 1 Iztapalapa (Barrio de San Lucas),2,1,0,"BO_1969_00906,BO_1969_00916",Iztapalapa
AO-I-,AO-1,Coord Territorial 1 Alvaro Obregon (Col Cristo Rey),2,1,0,"BO_1977_06747,BO_1977_06749",Alvaro Obregon
BJ-II-,BJ-2,Coord Territorial 2 Benito Juarez (Col Santa Cruz Atoyac),2,1,0,"BO_1977_05373,BO_1977_05619",Benito Juarez
Milpa alta,MIL-1,Coord Territorial 1 Milpa Alta (Col Milpa Alta),2,1,0,"BO_1969_00843,BO_1973_03187",Milpa Alta
HB+MH-HRL,HGRL,Hospital Ruben Leñero (Col Santo Tomas),2,1,0,"BO_1976_00168,BO_1976_05115",Miguel Hidalgo
AH-VI,AH-VI,,2,1,0,"BO_1976_05604,BO_1977_02674",
H de la villa,HV,Hospital la Villa (Col Granjas Modernas),2,1,0,"BO_1973_01415,BO_1973_01416",Gustavo A Madero
C-C-HX,HX,Hospital Xoco (Col General Anaya),2,1,0,"BO_1975_04404,BO_1976_00685",Benito Juarez
H. Villa,HV,Hospital la Villa (Col Granjas Modernas),2,1,0,"BO_1972_01217,BO_1972_01335",Gustavo A Madero
HB IZO-1,IZC-1,Coord Territorial 1 Iztacalco (Col Santa Anita),2,1,0,"BO_1975_01790,BO_1975_02474",Iztacalco
H. T. Villa,HV,Hospital la Villa (Col Granjas Modernas),2,1,0,"BO_1971_01332,BO_1971_01333",Gustavo A Madero
coyoacan,COY-1,Coord Territorial 1 Coyoacan (Col Romero de Terreros),2,1,0,"BO_1973_01469,BO_1973_01477",Coyoacan
MHCR,CR,Cruz Roja (Col Polanco),2,1,0,"BO_1976_05650,BO_1977_05845",Miguel Hidalgo
C Roja,CR,Cruz Roja (Col Polanco),2,1,0,"BO_1973_01443,BO_1974_03856",Miguel Hidalgo
C HX,HX,Hospital Xoco (Col General Anaya),2,1,0,"BO_1977_06036,BO_1977_06057",Benito Juarez
Grupo 4o,CUH-8,Coord Territorial 8 Cuauhtemoc (Col Obrera),2,1,0,"BO_1973_01942,BO_1973_01977",Cuauhtemoc
12a. Del.,BJ-2,Coord Territorial 2 Benito Juarez (Col Santa Cruz Atoyac),2,1,0,"BO_1968_00998,BO_1968_01096",Benito Juarez
Gpo 1,CUH-1,Coord Territorial 1 Cuauhtemoc (Col San Simon Tolnahuac),2,1,0,"BO_1973_03239,BO_1973_03240",Cuauhtemoc
BJ CM,HCMS21,Hospital Centro Médico Nacional Siglo XXI (Col Doctores),2,1,0,"BO_1977_05944,BO_1977_06030",Cuauhtemoc
8a delegacion,BJ-3,Coord Territorial 3 Benito Juarez (Col Zacahuizco),2,1,0,"BO_1972_03638,BO_1973_05234",Benito Juarez
Azcapotzalco,AZC-1,Coord Territorial 1 Azcapotzalco (Col El Rosario),2,1,0,"BO_1968_00820,BO_1969_00948",Azcapotzalco
MH-RL,CR,Cruz Roja (Col Polanco),2,1,0,"BO_1975_01577,BO_1976_00037",Miguel Hidalgo
O,AO-1,Coord Territorial 1 Alvaro Obregon (Col Cristo Rey),2,1,0,"BO_1974_02114,BO_1977_02998",Alvaro Obregon
tlalpan,TLP-1,Coord Territorial 1 Tlalpan (Col Ampliacion Miguel Hidalgo),2,1,0,"BO_1973_01338,BO_1973_01572",Tlalpan
HX-C-1,CUH-1+HX,Coord Territorial 1 Cuauhtemoc (Col San Simon Tolnahuac) + Hospital Xoco (Col General Anaya),1,2,0,BO_1975_00716,Benito Juarez + Cuauhtemoc
xochimilco,XO-1,Coord Territorial 1 Xochimilco - Reclusorio Sur (Col San Mateo Jalpa),1,1,0,BO_1969_00909,Xochimilco
HX BJ-2,BJ-2+HX,Coord Territorial 2 Benito Juarez (Col Santa Cruz Atoyac) + Hospital Xoco (Col General Anaya),1,2,0,BO_1975_06843,Benito Juarez
villa,HV,Hospital la Villa (Col Granjas Modernas),1,1,0,BO_1969_01463,Gustavo A Madero
HX+GAM-HV,HV,Hospital la Villa (Col Granjas Modernas),1,1,0,BO_1976_03627,Gustavo A Madero
VC-HB-263 y CH-V-44,CUH-5+HB,Coord Territorial 5 Cuauhtémoc (Col Santa María La Ribera) + Hospital Balbuena (Col Jardin Balbuena),1,2,0,BO_1976_05647,Cuauhtemoc + Venustiano Carranza
HX-,HX,Hospital Xoco (Col General Anaya),1,1,0,BO_1976_02994,Benito Juarez
cruz roja,CR,Cruz Roja (Col Polanco),1,1,0,BO_1973_01470,Miguel Hidalgo
VC-HB-4,HB,Hospital Balbuena (Col Jardin Balbuena),1,1,0,BO_1975_05464,Venustiano Carranza
