Procedencia_transcrito,Procedencia_estandar,Procedencia_extendido,Freq,Npartes,Nfalta,IDs,Procedencia_alcaldia
Xoco,HX,Hospital Xoco (Col General Anaya),336,1,0,"BO_1968_00732,BO_1968_00765,BO_1968_00782,BO_1968_00797,BO_1968_00813",Benito Juarez
H.T.B.,HB,Hospital Balbuena (Col Jardin Balbuena),324,1,0,"BO_1968_00778,BO_1968_00779,BO_1968_00780,BO_1968_00781,BO_1968_00819",Venustiano Carranza
21a,GAM-2,Coord Territorial 2 Gustavo A Madero (Col Aragon La Villa),321,1,0,"BO_1977_00162,BO_1977_00392,BO_1977_00566,BO_1977_00786,BO_1977_00808",Gustavo A Madero
AZ-1,AZC-1,Coord Territorial 1 Azcapotzalco (Col El Rosario),311,1,0,"BO_1975_00032,BO_1975_00042,BO_1975_00057,BO_1975_00137,BO_1975_00198",Azcapotzalco
C-1,CUH-1,Coord Territorial 1 Cuauhtemoc (Col San Simon Tolnahuac),310,1,0,"BO_1975_00031,BO_1975_00101,BO_1975_00129,BO_1975_00140,BO_1975_00142",Cuauhtemoc
19,IZP-1,Coord Territorial 1 Iztapalapa (Barrio de San Lucas),309,1,0,"BO_1978_04977,BO_1978_05837,BO_1980_00078,BO_1980_00178,BO_1980_00202",Iztapalapa
HV,HV,Hospital la Villa (Col Granjas Modernas),303,1,0,"BO_1974_00020,BO_1974_00023,BO_1974_00037,BO_1974_00090,BO_1974_00097",Gustavo A Madero
17,VC-3,Coord Territorial 3 Venustiano Carranza – Hospital De  Balbuena (Col Jardin Balbuena),295,1,0,"BO_1980_00035,BO_1980_00040,BO_1980_00042,BO_1980_00075,BO_1980_00081",Venustiano Carranza
Iztapalapa,IZP-1,Coord Territorial 1 Iztapalapa (Barrio de San Lucas),289,1,0,"BO_1968_00741,BO_1968_00762,BO_1968_00769,BO_1968_00882,BO_1968_00885",Iztapalapa
27,XO-2,Coord Territorial 2 Xochimilco (Barrio de San Pedro),281,1,0,"BO_1980_00023,BO_1980_00032,BO_1980_00047,BO_1980_00206,BO_1980_00263",Xochimilco
